TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,Season,EFGD_D,EFG%,EFGD%,RK,Team,3PR,3PRD
,Horz,25,14,102.8,108.2,0.3578,50.6,51.7,18.6,18.9,34.9,32.7,27.8,32.5,53.7,50.8,30.7,35.5,65.1,-7.8,,,2021,,,,,,,
,MAAC,25,14,90.2,95.2,0.3505,45.6,44.9,21.8,22.5,30.4,27.7,32.7,39.5,44.1,41.6,32.3,33.6,67.2,-8.1,,,2021,,,,,,,
,MAC,24,14,104.5,103.6,0.5247,48.1,51.5,13.7,19.1,30.3,29.2,28.9,30.1,48.4,51.7,31.8,34.1,70.5,-5.5,,,2021,,,,,,,
,MWC,25,14,108.4,107.6,0.521,53.7,52.9,15.9,18.1,22.9,27.8,35.3,33.9,53.9,54.4,35.7,33.0,69.4,-5.2,,,2021,,,,,,,
,Sum,24,14,106.7,105.9,0.5209,53.2,49.5,15.4,15.4,21.7,24.4,33.1,35.3,50.5,47.3,39.1,35.4,69.2,-7.3,,,2021,,,,,,,
,SEC,25,14,108.2,99.7,0.7198,50.7,52.5,21.5,21.6,32.8,32.3,34.3,31.4,51.8,53.3,32.3,34.2,73.3,-2.2,,,2021,,,,,,,
,BE,27,14,109.5,94.8,0.8401,50.0,49.4,18.9,19.2,29.7,29.8,35.7,27.3,51.1,46.6,32.1,36.6,67.1,-1.0,,,2021,,,,,,,
,OVC,25,14,104.3,106.9,0.4316,50.4,54.8,21.2,22.3,35.7,29.6,29.4,32.9,50.6,54.5,33.3,36.9,66.9,-10.4,,,2021,,,,,,,
,P12,27,14,103.8,93.6,0.7679,51.4,48.3,21.0,20.3,25.1,28.7,36.5,27.0,52.8,46.9,32.2,33.6,69.4,-2.4,,,2021,,,,,,,
,P12,27,14,101.1,93.6,0.7087,47.9,46.6,21.6,18.5,30.8,26.0,34.7,32.7,45.7,46.4,34.1,31.3,68.0,-4.5,,,2021,,,,,,,
,B10,29,14,107.4,95.7,0.7911,45.0,49.7,15.5,19.0,29.0,31.3,36.7,34.3,46.7,48.3,28.4,35.2,70.5,-1.1,,,2021,,,,,,,
,A10,20,14,110.1,95.0,0.8447,51.8,48.0,17.6,19.6,36.1,22.0,30.5,36.3,51.4,46.8,35.2,33.3,68.0,-0.7,,,2021,,,,,,,
,AE,20,14,100.0,100.2,0.4946,50.3,46.5,18.8,17.9,25.8,24.3,36.6,25.6,49.8,44.5,34.1,32.9,68.2,-3.8,,,2021,,,,,,,
,BW,22,14,102.5,97.5,0.6384,52.5,45.8,17.6,16.4,26.1,23.8,22.0,28.6,50.3,44.7,36.9,31.9,66.8,-4.7,,,2021,,,,,,,
,MEAC,19,14,99.9,105.3,0.3543,48.7,48.0,20.7,22.1,34.5,29.5,37.5,42.9,48.2,50.2,32.9,29.9,71.6,-6.3,,,2021,,,,,,,
,A10,23,14,107.5,98.6,0.7304,55.5,48.4,21.4,17.5,23.7,28.4,34.5,26.7,55.0,48.7,37.4,31.8,65.8,-1.9,,,2021,,,,,,,
,WCC,23,14,99.2,89.2,0.7715,47.6,47.6,17.1,18.8,26.0,22.0,27.7,27.7,49.8,45.9,29.3,34.8,63.6,-0.7,,,2021,,,,,,,
,MVC,24,15,101.5,97.9,0.6002,48.9,51.5,18.3,21.7,25.3,27.4,36.3,28.3,47.9,52.6,33.8,33.1,67.0,-3.9,,,2021,,,,,,,
,BW,24,15,102.3,102.4,0.4963,48.4,50.6,19.6,20.6,38.5,25.7,26.9,42.3,47.6,49.4,33.8,34.9,63.8,-6.2,,,2021,,,,,,,
,CUSA,22,15,106.2,104.9,0.5332,49.4,50.9,15.7,18.1,26.5,26.9,23.7,38.3,49.2,49.8,33.1,35.1,71.9,-6.4,,,2021,,,,,,,
,ASun,23,15,100.2,106.5,0.3311,51.2,51.5,17.4,18.4,23.2,28.4,36.5,22.7,51.2,53.4,34.1,32.8,66.5,-8.9,,,2021,,,,,,,
,BSth,25,15,97.9,103.9,0.3351,50.5,49.9,23.2,18.0,33.4,24.5,40.2,25.0,52.9,46.0,30.9,37.2,63.9,-8.8,,,2021,,,,,,,
,Horz,23,15,101.7,108.2,0.3275,48.7,54.3,16.7,18.7,32.9,29.0,31.6,26.3,50.1,54.1,30.9,36.4,67.4,-9.3,,,2021,,,,,,,
,Sum,27,15,101.9,102.0,0.4988,50.4,49.9,18.7,13.8,28.7,19.7,33.6,26.3,49.9,49.5,34.1,33.7,64.9,-7.2,,,2021,,,,,,,
,BSky,23,15,98.4,102.4,0.3874,48.9,49.6,19.4,18.2,22.7,29.1,35.9,40.4,46.5,50.2,36.6,32.4,65.9,-8.6,,,2021,,,,,,,
,CUSA,25,15,103.3,106.0,0.4244,52.6,51.8,21.1,17.1,26.7,26.8,26.3,22.0,51.2,50.7,36.1,35.8,69.7,-7.6,,,2021,,,,,,,
,SEC,29,15,105.4,94.1,0.7875,49.6,47.0,21.9,17.5,36.4,27.6,32.9,24.1,49.4,45.9,33.6,32.3,65.6,-3.0,,,2021,,,,,,,
,Pat,18,15,103.6,101.9,0.5481,50.1,52.4,18.2,22.4,32.4,24.9,33.0,32.5,50.6,53.7,32.7,33.5,66.7,-0.5,,,2021,,,,,,,
,NEC,20,15,103.3,102.6,0.5186,53.7,46.5,20.6,17.0,29.1,29.7,34.6,27.0,51.5,48.6,37.9,28.9,74.0,-3.9,,,2021,,,,,,,
,CUSA,22,15,108.8,102.0,0.6772,54.8,49.9,16.3,19.8,23.8,28.2,24.2,27.5,55.5,47.7,36.0,35.9,73.0,-2.7,,,2021,,,,,,,
,CUSA,22,15,100.8,99.4,0.5391,48.6,50.0,18.5,19.4,27.9,25.7,31.3,29.4,50.6,47.5,29.4,35.6,67.5,-3.1,,,2021,,,,,,,
,MAC,21,15,106.6,102.0,0.6237,51.5,48.6,17.0,16.4,30.0,28.8,30.7,27.3,52.7,49.3,33.4,31.6,68.4,-3.1,,,2021,,,,,,,
,MAC,22,15,104.0,100.8,0.5891,50.8,49.6,19.3,17.6,34.2,28.6,28.1,27.9,51.3,47.5,33.5,35.3,69.7,-2.8,,,2021,,,,,,,
,SC,22,15,104.8,103.1,0.546,54.9,52.0,18.9,18.6,25.5,28.0,24.3,25.4,56.6,52.2,35.6,34.5,65.8,-4.8,,,2021,,,,,,,
,MWC,25,16,108.0,100.1,0.7038,51.3,48.4,18.3,17.8,24.3,24.3,38.9,41.4,50.0,46.9,35.5,33.6,70.3,-2.8,,,2021,,,,,,,
,SEC,27,16,106.4,91.5,0.8493,48.9,48.6,20.4,22.7,34.8,27.2,34.4,33.0,50.6,45.8,29.9,35.7,65.1,-1.3,,,2021,,,,,,,
,BE,27,16,110.7,98.3,0.7974,50.4,52.6,16.8,21.9,29.2,30.5,28.6,31.8,49.8,53.3,34.4,34.2,73.8,-0.6,,,2021,,,,,,,
,Slnd,18,16,102.9,102.5,0.5124,55.0,50.9,23.4,24.5,36.5,27.2,44.0,42.2,57.1,50.5,32.2,34.5,69.7,-2.7,,,2021,,,,,,,
,SWAC,21,16,94.9,101.0,0.3277,50.3,47.3,19.4,25.7,30.9,31.4,26.9,46.3,53.0,47.1,30.4,31.8,68.9,-3.2,,,2021,,,,,,,
,SB,20,16,105.3,104.2,0.5298,51.3,48.8,16.8,19.7,30.9,32.5,32.6,34.6,51.0,47.2,34.5,34.1,70.8,-3.3,,,2021,,,,,,,
,SB,19,16,99.1,101.6,0.4284,50.0,45.9,21.8,18.1,35.5,27.2,32.2,29.8,48.7,45.3,34.6,31.0,70.7,-5.3,,,2021,,,,,,,
,Sum,22,16,108.6,105.6,0.5789,56.5,51.2,17.3,15.3,24.0,21.1,38.0,26.3,53.9,49.9,40.9,35.5,71.3,-3.2,,,2021,,,,,,,
,Amer,24,16,103.2,86.3,0.8872,50.4,43.9,22.4,22.4,33.7,24.9,34.2,36.1,48.8,45.9,35.4,27.1,72.3,-1.0,,,2021,,,,,,,
,MAC,23,16,106.7,95.8,0.7765,51.1,46.2,18.4,17.6,37.4,26.8,30.4,29.5,51.1,48.0,34.0,28.3,73.5,-3.5,,,2021,,,,,,,
,SC,22,16,108.1,100.5,0.6987,56.7,51.5,17.8,20.5,26.3,27.4,25.8,28.7,60.8,51.5,34.8,34.3,68.2,-4.7,,,2021,,,,,,,
,BSth,25,17,102.8,106.2,0.4054,55.7,52.0,18.5,21.5,19.6,30.9,33.8,30.5,55.4,55.4,37.4,31.0,64.2,-6.7,,,2021,,,,,,,
,SB,24,17,101.9,107.1,0.363,50.8,49.7,17.7,19.3,26.4,33.0,31.0,24.6,49.4,49.1,35.1,33.5,66.8,-8.2,,,2021,,,,,,,
,BSky,20,17,105.7,104.3,0.5383,56.4,49.9,17.2,18.9,22.4,24.5,36.8,32.2,57.3,48.3,36.6,35.2,71.8,-3.4,,,2021,,,,,,,
,MVC,22,17,105.3,99.0,0.6708,54.2,47.5,18.2,14.2,23.8,22.2,30.6,28.0,55.2,46.4,35.0,33.0,69.0,-2.8,,,2021,,,,,,,
,P12,26,17,113.1,96.9,0.8559,50.5,49.2,17.2,18.0,34.3,24.4,41.8,32.4,48.1,48.0,37.2,34.1,68.1,-0.6,,,2021,,,,,,,
,SB,24,17,101.2,104.9,0.3978,50.3,48.4,20.4,17.2,32.2,27.9,30.1,30.3,48.8,46.7,35.6,34.9,71.1,-5.9,,,2021,,,,,,,
,SC,26,18,105.2,102.8,0.5658,54.3,50.2,18.0,16.8,26.1,26.0,24.8,27.1,53.9,52.1,36.6,31.4,67.9,-6.3,,,2021,,,,,,,
,Horz,24,18,107.0,96.8,0.759,54.4,45.1,18.0,16.6,34.1,24.9,34.5,21.8,53.8,44.8,37.0,30.6,71.4,-3.6,,,2021,,,,,,,
,MWC,23,18,106.4,96.5,0.7542,54.9,47.5,20.0,19.9,24.6,26.0,33.9,27.8,55.7,49.6,36.0,29.9,69.3,0.2,,,2021,,,,,,,
,SB,23,18,99.6,99.3,0.5073,51.8,49.7,20.1,22.7,28.6,26.5,27.1,33.3,49.1,47.5,39.4,35.2,62.9,-4.4,,,2021,,,,,,,
,Slnd,24,18,98.0,104.1,0.3331,51.0,49.2,17.6,20.6,28.6,28.0,27.8,34.4,53.0,47.6,31.8,34.8,71.8,-4.1,,,2021,,,,,,,
,MWC,25,18,107.7,96.7,0.7753,52.1,48.7,16.5,20.2,27.3,23.8,34.4,28.0,52.4,48.5,34.4,32.6,69.3,-0.7,,,2021,,,,,,,
,SC,24,18,102.9,101.1,0.5488,50.4,51.9,15.9,18.8,22.6,25.1,28.1,23.4,48.6,52.2,35.4,34.3,66.8,-4.3,,,2021,,,,,,,
,BW,25,18,99.0,94.3,0.6357,47.3,45.6,18.9,18.2,31.1,24.7,29.1,28.1,46.7,43.2,32.9,32.9,67.8,-3.7,,,2021,,,,,,,
,OVC,25,18,104.5,104.1,0.5115,52.5,48.1,19.9,15.7,32.2,28.0,31.0,25.5,52.8,47.5,34.6,32.7,66.1,-5.2,,,2021,,,,,,,
,Slnd,24,19,100.4,102.2,0.4483,50.4,48.5,20.3,22.0,29.3,32.7,30.0,39.5,49.1,50.3,34.8,30.3,71.0,-4.4,,,2021,,,,,,,
,BSky,19,20,106.6,105.9,0.5196,52.4,51.7,16.0,17.0,29.2,23.9,39.4,31.2,54.0,50.4,33.4,35.8,70.3,-1.7,,,2021,,,,,,,
,CUSA,27,20,104.6,96.4,0.7187,51.0,48.9,21.2,19.0,32.1,24.4,36.2,22.2,50.6,45.8,34.5,35.8,68.1,-0.4,,,2021,,,,,,,
,CUSA,27,21,102.7,93.4,0.7479,50.5,45.6,18.4,18.8,27.1,23.4,35.3,26.4,49.7,46.4,34.6,29.6,69.6,-1.7,,,2021,,,,,,,
,MAC,29,21,113.3,101.8,0.7743,54.3,48.3,15.5,17.4,29.6,30.7,28.5,23.4,52.5,51.0,37.7,29.5,69.1,-2.1,,,2021,,,,,,,
,CUSA,27,22,102.5,94.6,0.7153,48.6,47.0,15.6,23.6,29.0,25.4,29.9,27.1,49.4,46.1,31.1,32.4,67.5,-2.7,,,2021,,,,,,,
,OVC,27,22,101.5,102.3,0.4749,51.2,51.0,16.6,24.3,26.8,30.2,25.6,32.2,49.6,51.8,35.8,33.0,75.1,-3.8,,,2021,,,,,,,
,OVC,29,26,108.5,101.6,0.6786,56.3,49.3,16.6,20.3,26.1,27.2,27.9,24.6,59.4,48.2,34.7,34.0,71.1,-1.1,,,2021,,,,,,,
,WCC,32,28,120.3,89.9,0.9662,58.7,,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37.0,30.5,72.6,6.7,,1.0,2022,43.1,,,,,,
,B12,40,34,119.8,91.3,0.958,53.8,,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,,1.0,2022,45.8,,,,,,
,B12,34,27,117.8,91.3,0.9491,52.8,,17.9,22.9,36.3,28.8,29.0,27.7,53.6,49.2,34.3,30.2,67.6,8.9,,1.0,2022,47.8,,,,,,
,P12,37,33,118.0,93.7,0.9341,55.6,,18.3,17.4,34.7,28.6,34.9,24.0,57.0,41.8,35.3,32.8,72.3,8.8,,1.0,2022,44.4,,,,,,
,ACC,39,32,122.7,96.0,0.944,55.6,,15.0,15.7,31.7,28.9,28.6,19.1,56.0,46.6,36.6,32.0,67.4,7.2,,2.0,2022,47.1,,,,,,
,BE,38,30,117.2,93.0,0.9346,51.5,,15.5,18.4,31.2,28.9,29.8,25.0,49.5,48.1,35.9,30.8,62.2,7.3,,2.0,2022,47.3,,,,,,
,SEC,34,26,119.4,95.4,0.9295,53.1,,16.7,17.5,37.7,24.9,28.0,25.4,53.5,47.3,34.7,30.8,67.8,6.9,,2.0,2022,46.9,,,,,,
,SEC,34,28,111.7,90.0,0.9228,49.9,,16.7,20.0,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31.0,70.0,7.4,,2.0,2022,44.1,,,,,,
,B12,37,27,110.5,85.4,0.9509,52.6,,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,,3.0,2022,45.8,,,,,,
,SEC,35,27,111.3,87.1,0.9439,50.7,,17.7,22.9,32.4,27.2,29.0,31.5,48.5,46.0,35.9,31.3,67.4,8.0,,3.0,2022,46.4,,,,,,
,B10,37,29,121.6,97.5,0.9267,56.5,,17.5,14.0,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66.0,7.0,,3.0,2022,49.1,,,,,,
,B10,33,25,108.7,93.4,0.8511,47.7,,13.0,17.0,25.9,24.4,32.4,27.2,48.7,49.0,30.7,32.5,66.4,6.5,,3.0,2022,49.0,,,,,,
,P12,35,27,115.8,92.2,0.9321,50.6,,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,,4.0,2022,47.6,,,,,,
,B10,33,23,111.9,93.0,0.8943,52.5,,18.1,15.5,33.1,26.6,32.0,28.2,51.4,45.2,35.9,31.9,67.1,4.2,,4.0,2022,46.0,,,,,,
,SEC,37,28,108.7,90.7,0.8894,48.6,,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,,4.0,2022,47.5,,,,,,
,BE,33,27,111.4,95.5,0.8554,50.0,,17.0,15.6,30.3,27.4,37.0,27.0,49.0,47.1,34.4,30.0,65.3,5.9,,4.0,2022,46.3,,,,,,
,Amer,38,32,116.5,88.5,0.9595,53.1,,16.9,21.7,37.7,28.0,29.0,34.7,54.5,43.4,33.8,28.8,63.7,6.2,,5.0,2022,43.3,,,,,,
,B10,36,26,121.1,97.2,0.9265,53.3,,13.0,19.2,32.3,30.0,30.0,26.3,52.5,49.9,36.3,32.9,69.8,4.5,,5.0,2022,49.7,,,,,,
,WCC,33,26,109.8,90.5,0.9024,52.7,,17.0,19.2,27.4,21.7,23.3,25.1,52.5,47.0,35.5,34.3,63.7,3.9,,5.0,2022,48.3,,,,,,
,BE,33,23,113.2,95.9,0.8709,49.6,,17.3,18.0,37.9,27.6,30.5,31.7,48.0,42.6,35.2,35.3,65.0,3.1,,5.0,2022,46.0,,,,,,
,B12,34,22,112.5,91.5,0.9152,50.1,,17.8,23.0,31.6,29.8,32.0,39.0,50.5,46.6,33.0,31.8,63.5,3.4,,6.0,2022,47.0,,,,,,
,SEC,34,22,106.3,89.6,0.8766,49.4,,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2.3,,6.0,2022,45.1,,,,,,
,SEC,33,19,115.2,98.3,0.8612,51.3,,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2.0,,6.0,2022,49.8,,,,,,
,MWC,30,25,111.9,98.1,0.819,54.8,,15.2,18.5,21.9,25.0,29.6,25.6,55.7,51.0,35.6,32.7,65.6,4.3,,6.0,2022,50.1,,,,,,
,B10,32,20,115.5,98.5,0.8612,54.3,,17.1,15.5,29.3,28.7,33.4,29.1,54.0,45.8,36.5,33.8,65.1,1.3,,7.0,2022,47.6,,,,,,
,B10,36,23,111.6,96.6,0.8405,52.0,,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2.9,,7.0,2022,48.1,,,,,,
,OVC,31,31,110.0,96.2,0.8241,52.6,,17.1,20.4,35.3,25.7,32.4,26.0,53.2,50.5,34.5,29.7,66.0,3.5,,7.0,2022,48.1,,,,,,
,P12,34,26,108.6,96.2,0.8021,51.2,,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42.0,35.7,33.2,66.2,4.1,,7.0,2022,44.7,,,,,,
,ACC,39,29,114.4,93.5,0.9113,51.5,,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,,8.0,2022,48.6,,,,,,
,MWC,32,23,102.4,86.9,0.8675,48.7,,19.3,21.9,29.5,27.3,31.1,31.0,46.7,43.5,35.4,30.0,65.3,2.6,,8.0,2022,44.1,,,,,,
,MWC,34,27,107.6,92.9,0.8434,50.7,,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48.0,34.0,32.6,64.5,3.5,,8.0,2022,48.3,,,,,,
,BE,31,21,105.4,93.4,0.8,47.2,,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,,8.0,2022,45.6,,,,,,
,Amer,33,22,112.4,92.6,0.9028,52.3,,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32.0,70.0,1.4,,9.0,2022,46.6,,,,,,
,B12,34,21,108.6,92.1,0.8698,48.7,,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48.0,30.2,30.9,65.9,2.9,,9.0,2022,47.4,,,,,,
,BE,35,23,104.8,92.1,0.8151,50.6,,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67.0,1.7,,9.0,2022,44.9,,,,,,
,BE,32,19,107.7,96.5,0.7787,52.1,,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32.0,71.2,0.6,,9.0,2022,47.0,,,,,,
,WCC,33,24,110.2,93.0,0.8748,53.1,,17.9,18.4,30.0,24.0,28.5,33.0,54.4,48.7,34.3,28.9,69.0,1.6,,10.0,2022,47.1,,,,,,
,ACC,37,26,113.6,97.9,0.8467,53.4,,14.0,20.4,22.4,30.3,28.9,24.8,54.8,53.0,33.9,34.5,67.7,2.6,,10.0,2022,52.5,,,,,,
,MVC,32,25,106.9,92.3,0.8439,55.6,,18.5,20.1,25.1,24.0,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,,10.0,2022,46.9,,,,,,
,A10,33,27,115.8,101.1,0.8258,55.6,,14.8,16.7,23.6,22.4,32.5,28.0,54.2,48.9,38.5,33.6,64.6,2.1,,10.0,2022,49.5,,,,,,
,ACC,36,23,115.6,95.2,0.9028,55.1,,17.0,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,1.7,,11.0,2022,49.0,,,,,,
,B10,34,19,113.9,96.2,0.8741,52.1,,17.3,14.7,31.0,24.0,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,,11.0,2022,49.7,,,,,,
,ACC,34,24,112.8,96.7,0.8542,54.0,,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32.0,65.4,1.9,,11.0,2022,49.0,,,,,,
,B12,35,22,101.7,88.4,0.8346,49.1,,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,,11.0,2022,47.9,,,,,,
,B10,32,18,106.6,96.3,0.7629,49.9,,17.3,17.8,29.6,27.0,26.2,28.6,49.4,47.1,33.9,33.9,65.0,-0.7,,11.0,2022,48.6,,,,,,
,B10,35,21,107.7,91.6,0.8652,50.6,,17.2,17.6,27.0,25.1,33.5,30.7,50.9,43.9,33.3,33.0,67.2,0.2,,12.0,2022,46.2,,,,,,
,CUSA,33,27,111.8,99.1,0.8001,52.8,,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38.0,32.9,68.9,-0.1,,12.0,2022,48.4,,,,,,
